slope,aspect,twi,rainfall,ndvi,landcover,river_proximity,landslide
42.03272,127.63015,14.613689,28701.984,0.65692735,10.0,1247.9764,1
44.14206,140.1101,14.526032,28701.984,0.5374201,10.0,840.5274,1
42.11329,145.45918,14.565188,28701.984,0.4766047,10.0,787.693,1
37.404503,136.03429,14.583088,28701.984,0.2829278,30.0,794.3661,1
34.398617,145.8428,14.909736,28701.984,0.6095326,10.0,1180.3339,1
37.68119,146.96628,14.843919,28701.984,0.37381935,30.0,1109.4797,1
38.277317,141.21762,14.520775,24495.367,0.44461253,10.0,1136.2355,1
49.610493,161.85133,14.5149555,28701.984,0.6524923,10.0,1264.0238,1
43.77251,138.02644,14.5658245,24495.367,0.48888248,10.0,1340.7882,1
46.029404,149.19292,14.437065,28701.984,0.36040866,30.0,1374.2562,1
31.900711,109.759834,14.896808,24495.367,0.6037479,10.0,1223.1444,1
28.659554,315.30106,14.220872,24495.367,0.63760746,10.0,162.71762,1
46.243496,135.47931,14.296863,24495.367,0.33802563,50.0,1241.4886,1
42.56032,170.82254,14.318295,24495.367,0.3970625,30.0,848.0132,1
41.522465,161.93213,14.373025,24495.367,0.51977426,30.0,1066.019,1
60.506527,215.42264,14.376989,20005.668,0.4956646,30.0,662.4761,1
43.510098,200.30177,14.645687,20005.668,0.58693784,30.0,503.94257,1
41.3803,187.15892,15.076716,19691.213,0.62168694,10.0,1090.7611,1
62.814762,133.63576,14.058377,18681.396,0.4430416,30.0,1130.6635,1
48.02769,124.60347,14.351681,18681.396,0.6412176,30.0,1070.0674,1
13.7299595,131.49413,15.608263,18681.396,0.2068256,60.0,111.924706,1
40.045513,113.85827,14.60066,18681.396,0.69883376,10.0,1132.7521,1
44.26407,227.08043,14.598983,18681.396,0.5071644,30.0,748.60315,1
57.976513,264.77194,14.487293,18681.396,0.65926343,10.0,253.99182,1
38.31456,210.63445,15.11674,18681.396,0.6087806,10.0,585.517,1
37.599663,157.65363,14.792387,22209.299,0.56858534,10.0,1418.5703,1
39.687,145.0153,14.750145,22209.299,0.6164886,30.0,1456.526,1
29.649637,174.46548,14.571182,22209.299,0.40076444,30.0,1509.9111,1
39.56989,177.46161,14.605276,22209.299,0.4694611,10.0,1575.2336,1
50.506207,140.69554,14.362891,22209.299,0.46818322,30.0,1622.9701,1
38.966953,199.83904,14.68038,21109.633,0.6009,10.0,1414.0073,1
48.871387,128.46031,14.72924,21109.633,0.41708168,30.0,1583.688,1
39.419807,290.7617,14.794192,21109.633,0.70495015,10.0,1392.6405,1
57.24698,336.404,14.026848,21109.633,0.5641605,10.0,766.1247,1
50.14824,0.8752873,14.385973,21109.633,0.5152178,10.0,741.3997,1
36.39599,246.71681,14.14522,24495.367,0.581194,10.0,28.639677,1
37.485954,149.92703,14.164745,24495.367,0.45568553,30.0,171.6947,1
27.442862,175.95824,14.3613405,21109.633,0.45440078,30.0,66.97055,1
30.33545,165.5111,14.440224,21109.633,0.3523839,30.0,66.97062,1
35.954296,148.00375,14.260736,21109.633,0.41250277,30.0,96.804756,1
40.074547,149.97902,14.038695,21109.633,0.5334309,30.0,126.63876,1
31.724134,210.21725,14.3696785,24495.367,0.36799368,30.0,335.4843,1
42.283264,221.61502,13.919541,24495.367,0.3731386,50.0,111.372,1
68.083374,192.32973,12.926288,24495.367,0.35262564,10.0,403.73553,1
50.06911,211.3897,13.834674,24495.367,0.3729579,30.0,289.78912,1
45.56248,7.613345e-11,14.369414,21109.633,0.60492826,10.0,777.5915,1
50.40018,339.6214,14.3955765,21109.633,0.6086004,10.0,676.7574,1
29.585878,3.6963944,14.886234,21109.633,0.6863691,10.0,674.81476,1
49.481453,312.6799,14.129614,21109.633,0.6388659,10.0,533.5999,1
50.400883,305.15738,14.141991,21109.633,0.65950346,10.0,513.7708,1
42.09333,256.52893,14.573293,21109.633,0.5407616,10.0,711.9691,1
28.955544,148.04388,14.734555,21109.633,0.36341512,30.0,188.56013,1
14.135108,154.1466,15.436995,21109.633,0.48650268,30.0,352.99573,1
49.8299,234.97452,14.320692,21109.633,0.57749873,10.0,427.23227,1
50.34914,155.82262,14.334484,21109.633,0.47124618,30.0,239.54823,1
39.77126,208.93079,14.391216,24495.367,0.4470567,10.0,454.8204,1
44.87066,224.31703,13.894436,24495.367,0.2607183,30.0,388.91086,1
46.55608,136.10257,14.204836,21109.633,0.2661061,30.0,447.77975,1
54.713375,164.21648,13.960777,21109.633,0.3536387,30.0,750.25024,1
34.743732,163.12514,14.745022,21109.633,0.39214924,30.0,649.6245,1
41.70358,177.64563,14.542423,21109.633,0.28133604,30.0,749.6541,1
55.50707,228.98672,14.157221,21109.633,0.43660218,10.0,1206.0278,1
22.958096,294.85672,15.244426,24495.367,0.4585409,30.0,1528.6611,1
39.5699,182.53891,14.830317,24495.367,0.16031186,60.0,1678.0103,1
32.246365,320.33505,14.6088085,22667.502,0.4812278,30.0,1618.5795,1
38.272343,224.10077,14.93255,18681.396,0.5947855,30.0,668.97876,1
39.154446,203.8653,14.934743,18681.396,0.65338165,10.0,881.1885,1
51.921494,167.57895,14.352647,18681.396,0.5977289,10.0,826.8828,1
44.545776,166.0112,14.816458,18681.396,0.420488,30.0,1084.4609,1
37.886738,206.54628,14.992329,18681.396,0.61639124,30.0,962.97015,1
30.024471,153.68016,15.179915,18681.396,0.42311278,10.0,1014.6201,1
44.265873,132.91621,14.867177,18681.396,0.5464571,30.0,314.72092,1
47.544827,218.28542,14.708245,18681.396,0.7592691,10.0,1189.0991,1
47.44769,213.67543,14.986819,18681.396,0.30237502,30.0,1467.8672,1
49.48912,110.22908,14.843295,18681.396,0.49100986,30.0,538.5978,1
31.929647,267.02194,14.75921,24495.367,0.48513302,10.0,1450.5282,1
22.958399,245.14368,14.812529,24495.367,0.3343825,30.0,439.38535,1
46.274174,163.733,14.507605,24495.367,0.35512555,30.0,1638.2098,1
47.35896,312.12943,14.496563,21109.633,0.5777713,10.0,1616.8074,1
40.06955,286.77805,14.636699,24495.367,0.58414805,10.0,1524.0966,1
39.147156,167.00601,14.642891,24495.367,0.26997414,30.0,1736.6556,1
39.31893,253.93668,14.446113,24495.367,0.63028663,30.0,1575.8911,1
27.50513,150.51788,15.405108,21109.633,0.51102304,30.0,1112.6802,1
37.15337,237.71935,14.249816,24495.367,0.45978415,10.0,637.5949,1
37.059517,233.11613,14.355459,24495.367,0.4883077,30.0,954.7745,1
40.33139,220.29976,14.500876,24495.367,0.38731486,30.0,1034.0724,1
41.421047,159.34792,14.586618,21109.633,0.4183432,30.0,1275.1416,1
38.683083,219.8004,14.639653,24495.367,0.3931131,10.0,1587.4758,1
26.065985,206.68196,14.891677,24495.367,0.4237961,10.0,1518.4338,1
26.869276,210.38368,14.941746,24495.367,0.40672863,10.0,1765.3931,1
42.569122,206.00195,14.591106,24495.367,0.382983,10.0,1527.2913,1
30.646006,205.62767,14.855532,24495.367,0.31380737,10.0,1632.854,1
34.957466,198.31212,14.8230715,24495.367,0.4498993,10.0,1604.406,1
46.3214,166.86612,14.798642,21109.633,0.44560307,30.0,1471.0046,1
49.94373,219.12372,14.3301,24495.367,0.4787119,30.0,1963.284,1
41.633812,201.75697,14.571892,24495.367,0.4032975,30.0,1781.2428,1
39.955105,224.36215,14.647141,24495.367,0.42735794,10.0,1835.0751,1
46.183052,212.98993,14.752159,24495.367,0.59939486,10.0,1795.6816,1
31.698717,185.10146,14.737487,24495.367,0.23491359,60.0,1053.8353,1
25.072882,281.9817,15.316661,21109.633,0.52610314,30.0,1612.761,1
54.73298,215.63162,13.937115,24495.367,0.59169155,10.0,636.83636,1
53.63665,274.10083,13.847948,24495.367,0.6035515,10.0,265.76273,1
40.009842,226.03142,14.753885,24495.367,0.64277875,10.0,420.58755,1
37.566162,214.83585,14.460956,24495.367,0.46716642,30.0,338.64264,1
48.622208,270.81708,14.326335,24495.367,0.60028285,10.0,27.0895,1
43.0276,122.52161,14.59859,21109.633,0.5210539,30.0,665.9093,1
51.09343,124.17987,14.575452,21109.633,0.5511311,10.0,994.085,1
46.83631,196.96796,14.63346,21109.633,0.2815716,30.0,1209.1763,1
59.683323,145.43825,14.430038,21109.633,0.40185258,30.0,1660.4246,1
57.42353,166.472,14.568652,21109.633,0.35945624,30.0,1785.3252,1
51.369835,154.89801,14.367941,21109.633,0.3789722,30.0,1746.1127,1
36.786182,204.59396,14.974341,21109.633,0.38877282,30.0,556.96326,1
48.60553,194.0063,14.801897,21109.633,0.6877139,30.0,1785.7675,1
63.183746,341.6597,14.447844,21109.633,0.71002513,30.0,1420.5161,1
44.266224,232.08522,14.778377,19576.125,0.5998907,10.0,1053.985,1
48.557205,203.82999,14.978166,18681.396,0.3778381,30.0,1524.8641,1
32.236492,115.8732,15.065155,18681.396,0.48430803,30.0,686.19745,1
20.268213,97.55673,15.649625,18681.396,0.48449284,30.0,709.7609,1
45.274715,353.7537,15.182409,18049.291,0.7015424,10.0,1478.4478,1
37.12497,340.20773,15.111915,18049.291,0.7015841,30.0,1135.9991,1
31.777401,353.2099,14.824615,19576.125,0.78482234,10.0,179.65497,1
40.254032,327.27106,14.488223,18049.291,0.66542125,30.0,17.09403,1
33.761517,19.190533,14.659563,19576.125,0.6013444,10.0,74.12712,1
23.950445,155.65475,15.419179,18049.291,0.4522903,30.0,202.48576,1
44.687492,161.65689,14.967313,18049.291,0.51697636,10.0,351.6567,1
59.84944,268.38358,13.9147625,24495.367,0.37486827,10.0,148.0968,1
41.93617,273.0987,14.220393,24495.367,0.5461897,30.0,255.54259,1
24.281197,291.02856,14.728412,24495.367,0.4684461,30.0,301.087,1
37.638416,247.80003,14.685856,24495.367,0.5170484,30.0,360.75546,1
65.7807,261.20416,13.337158,24495.367,0.39382052,10.0,299.6385,1
47.804283,49.77862,14.344149,19576.125,0.65469384,10.0,87.69775,1
38.91051,257.25595,14.702647,22088.53,0.38778627,30.0,920.96344,1
31.177612,266.9329,14.794084,22088.53,0.31616,30.0,722.8959,1
35.161964,224.5711,14.671768,22088.53,0.45233792,30.0,980.4533,1
43.077972,87.02295,14.315785,19576.125,0.57563925,30.0,118.21861,1
41.354618,266.83725,14.30707,22088.53,0.42998365,30.0,821.98804,1
44.09969,254.49785,14.338575,22088.53,0.41173902,30.0,814.00507,1
37.159733,237.72769,14.809315,22088.53,0.3255946,30.0,1099.3944,1
38.27856,315.88605,14.554191,22088.53,0.6047333,10.0,911.0143,1
29.580502,270.0,14.85101,22088.53,0.4790889,30.0,633.6233,1
44.169136,292.5368,14.452584,22088.53,0.5040201,10.0,712.78986,1
42.341846,31.496264,14.382203,19576.125,0.5366935,60.0,389.84586,1
27.842484,18.180231,15.05659,22088.53,0.5553332,30.0,793.22845,1
49.754528,313.24255,14.422512,22088.53,0.5115953,10.0,564.316,1
39.14504,308.06097,14.622119,22088.53,0.5493133,10.0,663.2475,1
48.010895,30.725195,14.377103,19576.125,0.33685923,60.0,79.530624,1
36.50327,220.04079,15.06059,18049.291,0.47565407,10.0,441.16275,1
41.52953,194.36575,14.918173,18049.291,0.30711165,30.0,471.0247,1
53.76074,237.72987,14.207773,19576.125,0.40900552,30.0,84.55962,1
39.100624,185.17094,14.933005,18049.291,0.2882977,30.0,500.863,1
42.999405,239.77287,14.87295,18049.291,0.35704744,30.0,530.67865,1
33.230385,220.0061,14.842071,18049.291,0.62509006,10.0,302.54108,1
41.034367,261.4429,14.705213,19576.125,0.72222555,10.0,167.7423,1
42.68614,219.44403,14.905103,18049.291,0.49310756,10.0,620.2005,1
54.538708,258.02164,14.3430395,18049.291,0.23864265,10.0,302.59198,1
43.06591,31.93547,14.262565,19576.125,0.38428488,60.0,112.38736,1
31.123798,283.96246,14.631153,22088.53,0.53878075,10.0,600.1616,1
35.695484,25.676262,14.696631,19576.125,0.47807434,10.0,640.7255,1
33.856167,244.25693,14.652379,19576.125,0.8117092,10.0,105.614044,1
37.16353,331.10983,14.611007,19576.125,0.6723072,10.0,838.9471,1
38.886646,252.47815,14.451779,19576.125,0.7406147,10.0,85.795685,1
33.152813,340.34192,14.893144,19576.125,0.6649744,10.0,501.9773,1
29.267809,36.025055,14.892055,19576.125,0.3617237,30.0,779.44,1
37.07432,350.23273,14.735976,19576.125,0.59760433,10.0,541.6144,1
25.918743,2.1594589,15.141601,19576.125,0.21911462,60.0,918.16614,1
40.089466,4.1472674e-09,14.797587,19576.125,0.7287315,10.0,159.86984,1
23.627129,357.60092,15.03113,19576.125,0.09560636,60.0,124.41018,1
38.03923,353.27954,14.441738,19576.125,0.6946361,10.0,246.8957,1
30.320738,24.019285,14.757187,19576.125,0.58172345,30.0,183.07648,1
45.99535,17.497873,14.348186,19576.125,0.5948412,10.0,196.90558,1
